id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
56,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Frederikssundsvej,154,2700,55.70461004233996,12.499748468399048,0,Sølvgade,6397,1688,13.642890995260663,1404
57,arbejde > hjem,Frederikssundsvej,154,2700,55.70461004233996,12.499748468399048,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Frederikssundsvej,6418,1700,13.591058823529412,1408
58,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Amagerbrogade,141,230,55.65638,12.6095,0,Kronprinsessegade,4155,1104,13.548913043478262,912
59,arbejde > hjem,Amagerbrogade,141,230,55.65638,12.6095,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Amagerbrogade,4155,1103,13.56119673617407,912
60,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,0,Prinsessegade,957,230,14.979130434782608,210
61,arbejde > hjem,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Danneskiold-Samsøes Allé,957,230,14.979130434782608,210
62,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,0,Børsgade,2527,707,12.867326732673268,554
63,arbejde > hjem,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Bremerholm,2465,702,12.64102564102564,541
64,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Strandgade,36,1401,55.6746537516726,12.5910722960965,0,Prinsessegade,538,138,14.034782608695652,118
65,arbejde > hjem,Strandgade,36,1401,55.6746537516726,12.5910722960965,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Sankt Annæ Gade,538,147,13.175510204081633,118
66,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,0,Prinsessegade,1172,317,13.309779179810727,257
67,arbejde > hjem,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Torvegade,1172,321,13.14392523364486,257
68,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Bredgade,65,1260,55.6864516275093,12.5918389699654,0,Prinsessegade,2367,647,13.170324574961361,519
69,arbejde > hjem,Bredgade,65,1260,55.6864516275093,12.5918389699654,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Bredgade / O2,2343,637,13.241444270015698,514
70,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Sankt Peders Stræde,2,1453,55.679870803049,12.570862611742,0,Prinsessegade,2313,665,12.521503759398497,507
71,arbejde > hjem,Sankt Peders Stræde,2,1453,55.679870803049,12.570862611742,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Børsgade,2503,683,13.192972181551976,549
72,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Sundkrogsgade,7,2100,55.7102250385094,12.5928069484879,0,Folke Bernadottes Allé / O2,5333,1423,13.491777933942375,1170
73,arbejde > hjem,Sundkrogsgade,7,2100,55.7102250385094,12.5928069484879,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Kalkbrænderihavnsgade / O2,5322,1438,13.323504867872044,1168
74,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Dampfærgevej,29,2100,55.6994002178611,12.5949703297449,0,Kronprinsessegade,4093,1099,13.407461328480437,898
75,arbejde > hjem,Dampfærgevej,29,2100,55.6994002178611,12.5949703297449,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Folke Bernadottes Allé / O2,4093,1104,13.346739130434784,898
76,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Østerbrogade,41,2100,55.7003799229605,12.5772081465991,0,Kronprinsessegade,4183,1113,13.529919137466306,918
77,arbejde > hjem,Østerbrogade,41,2100,55.7003799229605,12.5772081465991,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Østerbrogade,4154,1119,13.36407506702413,911
78,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Universitetsparken,2,2100,55.7028026833825,12.5613866756584,0,Sølvgade,4823,1311,13.243935926773455,1058
79,arbejde > hjem,Universitetsparken,2,2100,55.7028026833825,12.5613866756584,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Tagensvej,4799,1296,13.330555555555556,1053
